time_window,device,absolute_deviation,standard_deviation,arithmetic_average,RMS,median,variance,activity
,accY,0.1016,0.12823416081528355,-0.07400000000000001,0.14805404418657397,-0.05,0.016444,walking
,accZ,91,0.11759676866308871,611,0.6222137896253989,615,0.013829000000000003,walking
,girX,42.8776,53.847186890310255,-17.997999999999998,56.77541316450282,-2355,2899.5195360000002,walking
,girY,37664,56.01253578441169,-16255,58.32348746431407,-0.9450000000000001,3137.4041650000004,walking
,girZ,35.2976,44.840453878166755,-16244,47.69207313589964,-2.83,2010.6663039999999,walking
19_16_39,accX,0.15100000000000002,0.21846967752985766,499,0.5447292905655065,485,0.047728999999999994,walking
,accY,0.31120000000000003,0.38722603218275503,146,0.413835716196657,0.07,0.14994400000000002,walking
,accZ,0.2306,0.2945657821268451,0.5309999999999999,0.6072314221118668,635,0.08676899999999999,walking
,girX,61.333000000000006,78.2413070251258,-45.315000000000005,90.41654356366428,-8.04,6121.702125,walking
,girY,51251,73.18064173673253,21.185000000000002,76.18536965848496,7.2700000000000005,5355.406324999999,walking
,girZ,41.106399999999994,49.83290981871317,14337,51.8543004002561,5.1899999999999995,2483.3189009999996,walking
19_17_06,accX,0.14700000000000002,0.16052725625263767,549,0.571987762106848,0.5349999999999999,0.025768999999999997,walking
,accY,0.06760000000000001,0.09508417323613852,-0.08700000000000001,0.12887978895078933,-95,0.009041,walking
,accZ,0.1024,0.12130952147296599,772,0.7814729681825213,0.75,0.014715999999999996,walking
,girX,9393,12.332403699198304,-14163,18.779743075984825,-14.53,152.088181,walking
,girY,44.569599999999994,56.791737744147255,-35.61200000000001,67.03369316992762,-42.635000000000005,3225.301476,walking
,girZ,31.125999999999998,45.45547100184971,-24356,51.56951211714146,-25.08,2066.1998439999998,walking
19_17_34,accX,0.06679999999999998,0.09759098319004682,676,0.6830080526611675,0.71,0.009524000000000001,walking
,accY,0.0368,0.06309516621738943,-17,0.06534523701081817,-25,0.003981,walking
,accZ,0.04479999999999999,0.05553377350765929,684,0.6862506830597693,675,0.003084000000000001,walking
,girX,13.806799999999999,20.007232592240236,-8322,21.668987978214396,-0.56,400.289356,walking
,girY,8.1476,13.185361731860072,1.2540000000000007,13.24485862514206,-1165,173.85376400000004,walking
,girZ,17.2954,27.423753371849013,-10441,29.344108948816288,0.14999999999999997,752.0622490000002,walking
19_18_00,accX,0.2772,0.402422663377698,776,0.874139576955534,675,0.16194400000000003,walking
